VALMIR_at_2x10CON_[V]	Vdiff_at_ADS1256_[V]	R2_[Ohm]	Temp_[°C]
0.000	0.000	inf	-nan
0.004	0.005	665665.000	-nan
0.008	0.010	332332.500	-nan
0.011	0.015	221221.667	-nan
0.015	0.020	165666.250	-nan
0.019	0.025	132333.000	-nan
0.023	0.030	110110.833	-nan
0.026	0.035	94237.857	-nan
0.030	0.040	82333.125	-nan
0.034	0.045	73073.889	-nan
0.038	0.050	65666.500	-nan
0.041	0.055	59605.909	-nan
0.045	0.060	54555.417	-nan
0.049	0.065	50281.923	-nan
0.053	0.070	46618.929	-nan
0.056	0.075	43444.333	-nan
0.060	0.080	40666.562	-nan
0.064	0.085	38215.588	-nan
0.068	0.090	36036.944	-nan
0.071	0.095	34087.632	-nan
0.075	0.100	32333.250	-nan
0.079	0.105	30745.952	-nan
0.083	0.110	29302.955	-nan
0.086	0.115	27985.435	-nan
0.090	0.120	26777.708	-nan
0.094	0.125	25666.600	-nan
0.098	0.130	24640.962	-nan
0.101	0.135	23691.296	-nan
0.105	0.140	22809.464	-nan
0.109	0.145	21988.448	-nan
0.113	0.150	21222.167	-nan
0.116	0.155	20505.323	-nan
0.120	0.160	19833.281	-nan
0.124	0.165	19201.970	-nan
0.128	0.170	18607.794	-nan
0.131	0.175	18047.571	-nan
0.135	0.180	17518.472	-nan
0.139	0.185	17017.973	-nan
0.143	0.190	16543.816	-nan
0.146	0.195	16093.974	-nan
0.150	0.200	15666.625	-nan
0.154	0.205	15260.122	-nan
0.158	0.210	14872.976	-nan
0.161	0.215	14503.837	-nan
0.165	0.220	14151.477	-nan
0.169	0.225	13814.778	-nan
0.173	0.230	13492.717	-nan
0.176	0.235	13184.362	-nan
0.180	0.240	12888.854	-nan
0.184	0.245	12605.408	-nan
0.188	0.250	12333.300	-nan
0.191	0.255	12071.863	-nan
0.195	0.260	11820.481	-nan
0.199	0.265	11578.585	-nan
0.203	0.270	11345.648	-nan
0.206	0.275	11121.182	-nan
0.210	0.280	10904.732	-nan
0.214	0.285	10695.877	-nan
0.218	0.290	10494.224	-nan
0.221	0.295	10299.407	-nan
0.225	0.300	10111.083	-nan
0.229	0.305	9928.934	-nan
